key,Model,mtbench,MMLU,Knowledge cutoff date,License,Organization,Link,rating,variance,rating_q975,rating_q025,num_battles,final_ranking,alpacaeval,EQ-Bench,opencompass_academic,opencompass_self_english,mtbench_hard,openllm_new,IFEval,IFEval Raw,BBH,BBH Raw,MATH Lvl 5,MATH Lvl 5 Raw,GPQA,GPQA Raw,MUSR,MUSR Raw,MMLU-PRO,MMLU-PRO Raw,openllm_old,ARC,HellaSwag,MMLU_openllm,TruthfulQA,Winogrande,GSM8K,english_elos
gemini-1.5-pro-api-0409-preview,Gemini-1.5-Pro-Preview-0409,-,0.819,2023/11,Proprietary,Google,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/,1233.378554,3.573951094,1236.705569,1230.085812,33516,12,,,,,53.37,,,,,,,,,,,,,,,,,,,,,1233.378554
gpt-4-1106-preview,GPT-4-1106-preview,9.32,-,2023/4,Proprietary,OpenAI,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,1232.242234,2.998089889,1235.874899,1229.544781,62168,13,50,86.05,,,,,,,,,,,,0.425,,,,,,,,,,,,1232.242234
gemini-1.5-pro-api-0514,Gemini-1.5-Pro-001,-,0.859,2023/11,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro,1230.785148,3.289090829,1234.546597,1227.393859,40884,13,,,,,71.96,,,,,,,,,,,,,,,,,,,,,1230.785148
gpt-4-0125-preview,GPT-4-0125-preview,-,-,2023/12,Proprietary,OpenAI,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,1227.008681,3.282873893,1230.404043,1223.429139,52353,17,,83.87,,,77.96,,,,,,,,,0.414,,,,,,,,,,,,1227.008681
llama-3-70b-instruct,Llama-3-70b-Instruct,-,0.82,2023/12,Llama 3 Community,Meta,https://llama.meta.com/llama3/,1226.110557,2.480664784,1229.16248,1223.543002,93729,20,34.4,82.13,66.6,,46.57,36.18,80.99,0.81,50.19,0.65,23.34,0.23,4.92,0.29,10.92,0.42,46.74,0.52,,,,,,,,1226.110557
yi-large-preview,Yi-Large-preview,-,-,Unknown,Proprietary,01 AI,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B,1216.257519,5.633952133,1220.855089,1211.998414,26538,24,51.9,,,57.1,71.48,,,,,,,,,,,,,,,,,,,,,1216.257519
jamba-1.5-large,Jamba-1.5-Large,-,0.812,2024/3,Jamba Open,AI21 Labs,https://www.ai21.com/jamba,1216.072209,18.31158173,1223.78087,1206.871333,4274,22,,,,,,,,,,,,,,,,,,,,,,,,,,1216.072209
claude-3-opus-20240229,Claude 3 Opus,-,0.868,2023/8,Proprietary,Anthropic,https://www.anthropic.com/news/claude-3-family,1213.97036,2.360481405,1217.315558,1211.318698,90606,24,40.5,82.19,,,60.36,,,,,,,,,0.504,,,,,,,,,,,,1213.97036
reka-core-20240722,Reka-Core-20240722,-,-,-,Proprietary,Reka AI,https://docs.reka.ai/available-models,1206.193857,9.400087727,1211.842534,1200.67675,7479,25,,,,,,,,,,,,,,,,,,,,,,,,,,1206.193857
gemini-1.5-flash-api-0514,Gemini-1.5-Flash-001,-,0.789,2023/11,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash,1200.467976,3.473662428,1204.523944,1197.187199,33079,27,,,,,49.61,,,,,,,,,,,,,,,,,,,,,1200.467976
deepseek-v2-api-0628,Deepseek-v2-API-0628,-,-,-,DeepSeek,DeepSeek AI,https://platform.deepseek.com/api-docs/updates#deepseek-chat,1198.406631,7.620152068,1203.025518,1192.852826,10935,27,,,,,,,,,,,,,,,,,,,,,,,,,,1198.406631
gemma-2-9b-it-simpo,Gemma-2-9b-it-SimPO,-,-,2024/7,MIT,Princeton,https://huggingface.co/princeton-nlp/gemma-2-9b-it-SimPO,1195.323322,21.34886769,1204.468876,1187.128268,5107,27,,,,,,21.16,32.07,0.32,40.09,0.58,0,0,11.41,0.34,10.34,0.41,33.06,0.4,,,,,,,,1195.323322
yi-large,Yi-Large,-,-,Unknown,Proprietary,01 AI,https://platform.01.ai/docs#models-and-pricing,1194.770819,11.32779752,1202.015519,1189.089549,8727,27,,,,,63.7,,,,,,,,,,,,,,,,,,,,,1194.770819
deepseek-coder-v2-0724,Deepseek-Coder-v2-0724,-,-,-,Proprietary,DeepSeek,https://platform.deepseek.com/api-docs/updates/#version-2024-07-24,1193.224689,13.11968923,1200.152386,1187.450358,6564,28,,,,,,,,,,,,,,,,,,,,,,,,,,1193.224689
gemma-2-27b-it,Gemma-2-27b-it,-,-,2024/6,Gemma license,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-27b-it,1193.100236,5.692669457,1198.950204,1189.48917,18513,28,,80.55,,54.1,57.51,32.31,79.78,0.8,49.27,0.65,0.68,0.01,16.67,0.38,9.11,0.4,38.35,0.45,,,,,,,,1193.100236
glm-4-0520,GLM-4-0520,-,-,Unknown,Proprietary,Zhipu AI,https://open.bigmodel.cn/dev/api#language,1190.177082,15.14231605,1196.600864,1182.495109,5354,29,,,,55.7,63.84,,,,,,,,,,,,,,,,,,,,,1190.177082
nemotron-4-340b-instruct,Nemotron-4-340B-Instruct,-,-,2023/6,NVIDIA Open Model,Nvidia,https://huggingface.co/nvidia/Nemotron-4-340B-Instruct,1186.365619,8.784352099,1192.627615,1181.352003,10646,30,,,,,,,,,,,,,,,,,,,,,,,,,,1186.365619
bard-jan-24-gemini-pro,Gemini App (2024-01-24),-,-,Online,Proprietary,Google,https://gemini.google.com/app,1182.048445,10.0409622,1188.489369,1176.883869,9295,32,,,,,,,,,,,,,,,,,,,,,,,,,,1182.048445
command-r-plus-08-2024,Command R+ (08-2024),-,-,2024/8,CC-BY-NC-4.0,Cohere,https://docs.cohere.com/docs/command-r-plus#model-details,1180.829022,70.81841925,1195.220695,1163.134976,1037,29,,,,,,,,,,,,,,,,,,,,,,,,,,1180.829022
glm-4-0116,GLM-4-0116,-,-,Unknown,Proprietary,Zhipu AI,https://open.bigmodel.cn/,1177.385235,22.19409412,1186.225743,1167.103528,3968,34,,,,,55.72,,,,,,,,,,,,,,,,,,,,,1177.385235
gemini-1.5-flash-8b-exp-0827,Gemini-1.5-Flash-8b-Exp-0827,-,-,2023/11,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-8b-exp-0827,1176.419304,9.016196873,1181.669908,1170.081894,9790,35,,,,,,,,,,,,,,,,,,,,,,,,,,1176.419304
jamba-1.5-mini,Jamba-1.5-Mini,-,0.697,2024/3,Jamba Open,AI21 Labs,https://www.ai21.com/jamba,1176.047026,16.62896489,1185.023899,1169.609593,4394,34,,,,,,,,,,,,,,,,,,,,,,,,,,1176.047026
reka-core-20240501,Reka-Core-20240501,-,0.832,-,Proprietary,Reka AI,https://www.reka.ai/news/reka-core-our-frontier-class-multimodal-language-model,1176.01234,3.314626947,1179.362433,1172.344321,34384,36,,,,,,,,,,,,,,,,,,,,,,,,,,1176.01234
claude-3-sonnet-20240229,Claude 3 Sonnet,-,0.79,2023/8,Proprietary,Anthropic,https://www.anthropic.com/news/claude-3-family,1175.226591,2.866295761,1178.751797,1171.776782,62662,36,34.9,80.45,,,46.8,,,,,,,,,,,,,,,,,,,,,1175.226591
reka-flash-20240722,Reka-Flash-20240722,-,-,-,Proprietary,Reka AI,https://docs.reka.ai/available-models,1172.80968,15.5506265,1180.244959,1166.025244,7673,36,,,,,,,,,,,,,,,,,,,,,,,,,,1172.80968
qwen2-72b-instruct,Qwen2-72B-Instruct,9.12,0.842,2024/6,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen2/,1170.276026,5.708697597,1175.29111,1166.123133,19697,37,38.1,81.35,73.1,53.4,46.86,42.49,79.89,0.8,57.48,0.7,35.12,0.35,16.33,0.37,17.17,0.46,48.92,0.54,,,,,,,,1170.276026
qwen-max-0428,Qwen-Max-0428,-,-,-,Proprietary,Alibaba,https://help.aliyun.com/zh/dashscope/developer-reference/api-details,1168.044154,7.524289871,1174.453426,1163.656112,14437,37,,,,56.2,,,,,,,,,,,,,,,,,,,,,,1168.044154
gemma-2-9b-it,Gemma-2-9b-it,-,-,2024/6,Gemma license,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-9b-it,1166.231863,5.458016583,1169.946787,1162.154767,15391,40,,80.46,,48.6,,28.86,74.36,0.74,42.14,0.6,0.23,0,14.77,0.36,9.74,0.41,31.95,0.39,,,,,,,,1166.231863
gpt-4-0314,GPT-4-0314,8.96,0.864,2021/9,Proprietary,OpenAI,https://openai.com/research/gpt-4,1164.499573,4.124776342,1168.28559,1160.798994,36363,41,35.3,85.73,,,50,,,,,,,,,,,,,,,,,,,,,1164.499573
llama-3-8b-instruct,Llama-3-8b-Instruct,-,0.684,2023/3,Llama 3 Community,Meta,https://llama.meta.com/llama3/,1163.472209,2.703612675,1166.454623,1160.298747,63806,42,22.9,68.88,50.6,,20.56,13.78,24.01,0.24,18.39,0.42,0.45,0,2.13,0.27,19.94,0.48,17.75,0.26,,,,,,,,1163.472209
command-r-plus,Command R+ (04-2024),-,-,2024/3,CC-BY-NC-4.0,Cohere,https://txt.cohere.com/command-r-plus-microsoft-azure/,1163.072868,3.025246439,1166.249273,1159.190668,43845,42,,76.11,,,33.07,,,,,,,,,,,,,,,,,,,,,1163.072868
yi-1.5-34b-chat,Yi-1.5-34B-Chat,-,0.768,2024/5,Apache-2.0,01 AI,https://huggingface.co/01-ai/Yi-1.5-34B-Chat,1162.907744,9.424567158,1168.364978,1156.874386,12871,41,,72.93,60.4,48.8,,32.63,60.67,0.61,44.26,0.61,23.34,0.23,15.32,0.36,13.06,0.43,39.12,0.45,74.82,70.48,85.97,77.08,62.16,81.61,71.65,1162.907744
llama-3.1-8b-instruct,Meta-Llama-3.1-8b-Instruct,-,0.73,2023/12,Llama 3.1 Community,Meta,https://ai.meta.com/blog/meta-llama-3-1/,1162.033148,7.667188583,1167.17086,1156.825905,11882,41,20.9,,,48.9,21.34,,,,,,,,,0.304,,,,,,,,,,,,1162.033148
claude-3-haiku-20240307,Claude 3 Haiku,9.1,0.752,2023/8,Proprietary,Anthropic,https://www.anthropic.com/news/claude-3-family,1157.005378,2.718558113,1161.076881,1154.198402,61681,47,,63.65,,,41.47,,,,,,,,,,,,,,,,,,,,,1157.005378
qwen1.5-110b-chat,Qwen1.5-110B-Chat,8.88,0.804,2024/4,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen1.5-110b/,1150.318523,7.635411577,1155.44676,1146.481219,14344,52,,83.68,61.7,50.4,,29.22,59.39,0.59,44.98,0.62,0,0,12.19,0.34,16.29,0.45,42.5,0.48,68.01,72.01,84.67,78.04,65.86,77.35,30.1,1150.318523
deepseek-coder-v2,DeepSeek-Coder-V2-Instruct,-,-,2024/6,DeepSeek License,DeepSeek AI,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,1149.999593,11.98633903,1156.946017,1144.001979,8398,50,,,,,62.3,,,,,,,,,,,,,,,,,,,,,1149.999593
command-r-08-2024,Command R (08-2024),-,-,2024/8,CC-BY-NC-4.0,Cohere,https://docs.cohere.com/docs/command-r-plus#model-details,1149.521344,94.05830436,1166.512518,1131.971609,1060,42,,,,,,,,,,,,,,,,,,,,,,,,,,1149.521344
gpt-4-0613,GPT-4-0613,9.18,-,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,1147.908118,2.660565632,1151.032757,1144.488902,58855,53,30.2,84.79,,,37.9,,,,,,,,,,,,,,,,,,,,,1147.908118
mistral-large-2402,Mistral-Large-2402,-,0.812,-,Proprietary,Mistral,https://mistral.ai/news/mistral-large/,1146.120958,3.66704511,1150.545171,1143.096444,37976,53,32.7,85.17,,,37.71,,,,,,,,,,,,,,,,,,,,,1146.120958
reka-flash-preview-20240611,Reka-Flash-Preview-20240611,-,-,-,Proprietary,Reka AI,https://docs.reka.ai/http-api.html#generation,1141.865686,10.06256759,1147.763087,1135.720184,10561,53,,,,,,,,,,,,,,,,,,,,,,,,,,1141.865686
mistral-medium,Mistral Medium,8.61,0.753,-,Proprietary,Mistral,https://mistral.ai/news/la-plateforme/,1137.860212,3.773563136,1141.699954,1134.559942,24366,57,28.6,82.57,,,31.9,,,,,,,,,,,,,,,,,,,,,1137.860212
mixtral-8x22b-instruct-v0.1,Mixtral-8x22b-Instruct-v0.1,-,0.778,2024/4,Apache 2.0,Mistral,https://mistral.ai/news/mixtral-8x22b/,1136.161413,4.149790596,1141.049485,1133.183816,30504,57,30.9,78.79,,50.7,36.36,33.89,71.84,0.72,44.11,0.61,18.73,0.19,16.44,0.37,13.49,0.43,38.7,0.45,79.15,72.7,89.08,77.77,68.14,85.16,82.03,1136.161413
reka-flash-21b-20240226-online,Reka-Flash-21B-online,-,-,Online,Proprietary,Reka AI,https://docs.reka.ai/http-api.html#generation,1136.097345,10.4031281,1143.675944,1130.638299,9193,56,,,,,,,,,,,,,,,,,,,,,,,,,,1136.097345
qwen1.5-72b-chat,Qwen1.5-72B-Chat,8.62,0.775,2024/2,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen1.5/,1135.155762,6.810271219,1140.844799,1131.047998,25738,57,36.6,82.81,56.9,,36.12,,,,,,,,,,,,,,65.98,68.26,86.47,77.46,63.84,78.93,20.92,1135.155762
claude-1,Claude-1,7.9,0.77,-,Proprietary,Anthropic,https://www.anthropic.com/index/introducing-claude,1129.532611,5.743302713,1133.718938,1124.793774,16223,59,,,,,,,,,,,,,,,,,,,,,,,,,,1129.532611
reka-flash-21b-20240226,Reka-Flash-21B,-,0.735,2023/11,Proprietary,Reka AI,https://www.reka.ai/news/reka-flash-efficient-and-capable-multimodal-language-models,1126.158832,7.87235021,1131.195988,1121.277954,14882,61,,,,,,,,,,,,,,,,,,,,,,,,,,1126.158832
command-r,Command R (04-2024),-,-,2024/3,CC-BY-NC-4.0,Cohere,https://txt.cohere.com/command-r,1123.382273,4.778141804,1128.077102,1119.270768,30692,63,,,,,17.02,,,,,,,,,,,,,,,,,,,,,1123.382273
gemma-2-2b-it,Gemma-2-2b-it,-,0.513,2024/7,Gemma license,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-2b-it,1121.130442,7.652195181,1127.120228,1116.113035,9585,63,,,,,,17.05,56.68,0.57,17.98,0.42,0.08,0,3.24,0.27,7.08,0.39,17.22,0.25,,,,,,,,1121.130442
zephyr-orpo-141b-A35b-v0.1,Zephyr-ORPO-141b-A35b-v0.1,-,-,2024/4,Apache 2.0,HuggingFace,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,1118.908732,32.51903928,1130.89065,1108.986449,2795,62,,,,,,33.77,65.11,0.65,47.5,0.63,18.35,0.18,17.11,0.38,14.72,0.45,39.85,0.46,,,,,,,,1118.908732
phi-3-medium-4k-instruct,Phi-3-Medium-4k-Instruct,-,0.78,2023/10,MIT,Microsoft,https://huggingface.co/microsoft/Phi-3-medium-4k-instruct,1117.522624,9.138917697,1123.085923,1111.344267,13303,64,,76.34,,,33.37,32.67,64.23,0.64,49.38,0.64,16.99,0.17,11.52,0.34,13.05,0.43,40.84,0.47,73.57,67.06,85.69,77.85,57.75,72.85,80.21,1117.522624
claude-2.0,Claude-2.0,8.06,0.785,-,Proprietary,Anthropic,https://www.anthropic.com/index/claude-2,1114.109908,12.11858799,1120.228384,1107.809629,9879,65,28.2,,,,23.99,,,,,,,,,,,,,,,,,,,,,1114.109908
mixtral-8x7b-instruct-v0.1,Mixtral-8x7b-Instruct-v0.1,8.3,0.706,2023/12,Apache 2.0,Mistral,https://mistral.ai/news/mixtral-of-experts/,1114,0,1114,1114,47575,67,23.7,72.37,42.6,37.7,23.4,24.35,53.95,0.54,34.02,0.53,9.06,0.09,7.61,0.31,12.11,0.43,29.36,0.36,72.62,70.22,87.63,71.16,64.58,81.37,60.73,1114
mistral-next,Mistral-Next,-,-,-,Proprietary,Mistral,https://chat.mistral.ai/chat,1110.265961,10.63513771,1116.645167,1104.341346,9063,66,,,,,27.37,,,,,,,,,,,,,,,,,,,,,1110.265961
qwen1.5-32b-chat,Qwen1.5-32B-Chat,8.3,0.734,2024/2,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen1.5-32b/,1109.88662,8.99508173,1116.199936,1104.939837,12345,66,,75.59,57.1,,,27.1,55.32,0.55,44.55,0.61,6.65,0.07,7.49,0.31,10.2,0.42,38.41,0.45,62.95,66.04,85.49,74.99,66.95,77.19,7.05,1109.88662
gemini-pro-dev-api,Gemini-1.0-Pro-001,-,0.718,2023/4,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.0-pro,1108.642843,8.391138331,1114.125308,1103.149859,12700,67,,,,,,,,,,,,,,,,,,,,,,,,,,1108.642843
starling-lm-7b-beta,Starling-LM-7B-beta,8.12,-,2024/3,Apache-2.0,Nexusflow,https://huggingface.co/Nexusflow/Starling-LM-7B-beta,1107.73741,10.59225003,1113.790034,1101.323726,9401,68,,73.82,,,23.01,,,,,,,,,,,,,,69.88,67.24,83.47,65.14,55.47,81.29,66.64,1107.73741
yi-34b-chat,Yi-34B-Chat,7.9,0.735,2023/6,Yi License,01 AI,https://huggingface.co/01-ai/Yi-34B-Chat,1106.375409,9.001475629,1112.296443,1100.814489,10774,68,27.2,71.62,,,23.15,23.9,46.99,0.47,37.62,0.56,4.31,0.04,11.74,0.34,8.36,0.4,34.37,0.41,65.32,65.44,84.16,74.9,55.37,80.11,31.92,1106.375409
phi-3-small-8k-instruct,Phi-3-Small-8k-Instruct,-,0.757,2023/10,MIT,Microsoft,https://huggingface.co/microsoft/Phi-3-small-8k-instruct,1106.045115,11.9393075,1112.938381,1100.028996,9360,68,,73.49,,,29.77,29.64,64.97,0.65,46.21,0.62,2.64,0.03,8.28,0.31,16.77,0.46,38.96,0.45,,,,,,,,1106.045115
dbrx-instruct-preview,DBRX-Instruct-Preview,-,0.737,2023/12,DBRX LICENSE,Databricks,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm,1103.647356,7.160817365,1109.140804,1098.920259,18789,69,25.4,76.82,40.7,,24.63,,,,,,,,,,,,,,,,,,,,,1103.647356
gpt-3.5-turbo-0613,GPT-3.5-Turbo-0613,8.39,-,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-3-5,1098.301272,4.07160509,1102.117483,1094.667951,29986,74,22.7,69.35,,,24.82,,,,,,,,,,,,,,,,,,,,,1098.301272
gemini-pro,Gemini Pro,-,0.718,2023/4,Proprietary,Google,https://blog.google/technology/ai/gemini-api-developers-cloud/,1097.806197,22.49259214,1108.432879,1089.442929,5176,70,24.4,75.08,,,17.8,,,,,,,,,,,,,,,,,,,,,1097.806197
wizardlm-70b,WizardLM-70B-v1.0,7.71,0.637,2023/8,Llama 2 Community,Microsoft,https://huggingface.co/WizardLM/WizardLM-70B-V1.0,1097.730049,14.9174179,1105.806574,1091.963991,6486,71,,,,,,,,,,,,,,,,,,,,,,,,,,1097.730049
claude-instant-1,Claude-Instant-1,7.85,0.734,-,Proprietary,Anthropic,https://www.anthropic.com/index/introducing-claude,1097.065137,7.354346934,1102.879367,1091.628253,16037,74,,,,,,,,,,,,,,,,,,,,,,,,,,1097.065137
claude-2.1,Claude-2.1,8.18,-,-,Proprietary,Anthropic,https://www.anthropic.com/index/claude-2-1,1096.97129,4.366806725,1101.652679,1092.878816,27159,74,25.3,,,,22.77,,,,,,,,,,,,,,,,,,,,,1096.97129
llama-2-70b-chat,Llama-2-70b-chat,6.86,0.63,2023/7,Llama 2 Community,Meta,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,1096.677912,5.081694442,1101.447562,1093.517613,26652,74,14.7,73.59,,,11.55,,,,,,,,,,,,,,,,,,,,,1096.677912
qwen1.5-14b-chat,Qwen1.5-14B-Chat,7.91,0.676,2024/2,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen1.5/,1095.473965,8.864591411,1100.803357,1089.415508,9892,76,23.9,74.99,49.7,,,21.02,47.68,0.48,32.76,0.52,0,0,2.68,0.27,13.93,0.44,29.09,0.36,62.37,58.79,82.33,68.52,60.38,73.32,30.86,1095.473965
tulu-2-dpo-70b,Tulu-2-DPO-70B,7.89,-,2023/11,AI2 ImpACT Low-risk,AllenAI/UW,https://huggingface.co/allenai/tulu-2-dpo-70b,1092.070995,15.30599944,1099.131509,1085.47254,5104,77,21.2,76.63,,,14.99,,,,,,,,,,,,,,73.77,72.1,88.99,69.84,65.78,83.27,62.62,1092.070995
gpt-3.5-turbo-0125,GPT-3.5-Turbo-0125,7.94,-,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-3-5-turbo,1086.68254,3.165958958,1090.056032,1083.362299,41204,83,17.7,64.97,,,23.34,,,,,,,,,,,,,,,,,,,,,1086.68254
vicuna-33b,Vicuna-33B,7.12,0.592,2023/8,Non-commercial,LMSYS,https://huggingface.co/lmsys/vicuna-33b-v1.3,1086.582186,5.710697325,1090.959885,1081.814239,16950,83,17.6,,,,8.63,,,,,,,,,,,,,,,,,,,,,1086.582186
starling-lm-7b-alpha,Starling-LM-7B-alpha,8.09,0.639,2023/11,CC-BY-NC-4.0,UC Berkeley,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha,1083.348005,14.6980849,1091.477923,1076.364796,7340,83,,73.9,,,12.8,20.64,54.8,0.55,21.95,0.44,7.18,0.07,6.26,0.3,9.5,0.41,24.13,0.32,67.13,63.82,84.9,64.67,46.39,80.58,62.4,1083.348005
mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,7.6,-,2023/12,Apache-2.0,Mistral,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,1081.826997,8.329164107,1088.258982,1077.832121,13098,85,17.1,,,,,18.44,54.96,0.55,22.91,0.45,2.64,0.03,3.47,0.28,7.61,0.4,19.08,0.27,65.71,63.14,84.88,60.78,68.26,77.19,40.03,1081.826997
phi-3-mini-4k-instruct-june-2024,Phi-3-Mini-4k-Instruct-June-24,-,0.709,2023/10,MIT,Microsoft,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,1081.556731,7.856957241,1087.077959,1076.421239,6963,85,,,,,,,,,,,,,,,,,,,,,,,,,,1081.556731
gpt-3.5-turbo-0314,GPT-3.5-Turbo-0314,7.94,0.7,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-3-5,1081.506063,29.60165852,1092.621012,1071.348409,4590,81,,,,,18.05,,,,,,,,,,,,,,,,,,,,,1081.506063
